Roll,Pitch,Yaw,Alt,Lat,Lng
0.0,0.0,353.0,584.090026855,-35.363261,149.1652299
0.0,0.0,353.0,584.090026855,-35.363261,149.1652299
0.0,0.0,353.0,584.090026855,-35.363261,149.1652299
0.0,0.0,353.0,584.090026855,-35.363261,149.1652299
0.0,0.0,353.0,584.090026855,-35.363261,149.1652299
0.0,0.0,353.0,584.090026855,-35.363261,149.1652299
0.0,0.0,353.0,584.090026855,-35.363261,149.1652299
0.0,0.0,353.0,584.090026855,-35.363261,149.1652299
0.0,0.0,353.0,584.090026855,-35.363261,149.1652299
0.0,0.0,353.0,584.090026855,-35.363261,149.1652299
0.0,0.0,353.0,584.090026855,-35.363261,149.1652299
0.0,0.0,353.0,584.090026855,-35.363261,149.1652299
0.0,0.0,353.0,584.090026855,-35.363261,149.1652299
0.0,0.0,353.0,584.090026855,-35.363261,149.1652299
0.0,0.0,353.0,584.090026855,-35.363261,149.1652299
0.0,0.0,353.0,584.090026855,-35.363261,149.1652299
0.0,0.0,353.0,584.090026855,-35.363261,149.1652299
0.0,0.0,353.0,584.090026855,-35.363261,149.1652299
0.0,0.0,353.0,584.090026855,-35.363261,149.1652299
0.0,0.0,353.0,584.090026855,-35.363261,149.1652299
0.0,0.0,353.0,584.090026855,-35.363261,149.1652299
0.0,0.0,353.0,584.090026855,-35.363261,149.1652299
0.0,0.0,353.0,584.090026855,-35.363261,149.1652299
0.0,0.0,353.0,584.090026855,-35.363261,149.1652299
0.0,0.0,353.0,584.090026855,-35.363261,149.1652299
0.0,0.0,353.0,584.090026855,-35.363261,149.1652299
0.0,0.0,353.0,584.090026855,-35.363261,149.1652299
0.0,0.0,353.0,584.090026855,-35.363261,149.1652299
0.0,0.0,353.0,584.090026855,-35.363261,149.1652299
0.0,0.0,353.0,584.090026855,-35.363261,149.1652299
0.0,0.0,353.0,584.090026855,-35.363261,149.1652299
0.0,0.0,353.0,584.090026855,-35.363261,149.1652299
0.0,0.0,353.0,584.090026855,-35.363261,149.1652299
0.0,0.0,353.0,584.090026855,-35.363261,149.1652299
0.0,0.0,353.0,584.090026855,-35.363261,149.1652299
0.0,0.0,353.0,584.090026855,-35.363261,149.1652299
0.0,0.0,353.0,584.090026855,-35.363261,149.1652299
0.0,0.0,353.0,584.090026855,-35.363261,149.1652299
0.0,0.0,353.0,584.099975586,-35.363261,149.1652299
0.0,0.0,353.0,584.099975586,-35.363261,149.1652299
0.0,0.0,353.0,584.109985352,-35.363261,149.1652299
0.0,0.0,353.0,584.1300048830001,-35.363261,149.1652299
0.0,0.0,353.0,584.150024414,-35.363261,149.1652299
0.0,0.0,353.0,584.179992676,-35.363261,149.1652299
0.0,0.0,353.0,584.2199707030001,-35.363261,149.1652299
-0.04,-0.01,352.99,584.299987793,-35.363261,149.1652299
-0.1,-0.04,352.99,584.41998291,-35.363261,149.1652299
-0.15,-0.07,352.99,584.58001709,-35.363261,149.1652299
-0.17,-0.1,352.99,584.729980469,-35.363261,149.1652299
-0.16,-0.09,352.99,584.890014648,-35.363261,149.1652299
-0.11,-0.06,352.98,585.039978027,-35.363261,149.1652299
-0.05,-0.03,352.98,585.1900024409999,-35.363261,149.1652299
-0.01,-0.01,352.98,585.349975586,-35.363261,149.1652299
0.0,-0.02,352.98,585.520019531,-35.363261,149.1652299
0.0,-0.04,352.98,585.700012207,-35.363261,149.16522980000002
0.0,-0.05,352.98,585.8800048830001,-35.363261,149.16522980000002
0.01,-0.05,352.98,586.0599975590001,-35.363261,149.16522980000002
0.03,-0.01,352.97,586.25,-35.363261,149.16522980000002
0.02,0.02,352.97,586.4400024409999,-35.363261,149.16522980000002
0.01,0.06,352.97,586.6300048830001,-35.363261,149.16522980000002
0.01,0.11,352.98,586.83001709,-35.363261,149.16522980000002
0.02,0.13,352.98,587.020019531,-35.363261,149.16522980000002
0.04,0.13,352.98,587.200012207,-35.363261,149.16522980000002
0.05,0.11,352.98,587.3699951169999,-35.363261,149.16522980000002
0.0,0.06,352.98,587.539978027,-35.363261,149.16522980000002
-0.31,0.03,352.98,587.6900024409999,-35.363261,149.16522980000002
-0.96,0.01,352.97,587.83001709,-35.363261,149.16522980000002
-1.89,0.0,352.97,587.960021973,-35.363261,149.16522980000002
-2.98,0.0,352.97,588.070007324,-35.363261,149.16522969999997
-4.1,-0.02,352.97,588.16998291,-35.363261,149.16522959999998
-5.11,-0.05,352.97,588.2600097659999,-35.363261,149.1652294
-5.9,-0.08,352.97,588.340026855,-35.363261,149.1652292
-6.47,-0.08,352.97,588.409973145,-35.363261,149.16522890000002
-6.9,-0.07,352.96,588.4699707030001,-35.363261,149.1652284
-7.27,-0.08,352.96,588.5300292969999,-35.363261,149.16522790000002
-7.65,-0.1,352.96,588.58001709,-35.363261,149.1652273
-8.02,-0.1,352.96,588.6199951169999,-35.363261,149.1652265
-8.3,-0.09,352.95,588.659973145,-35.3632611,149.1652258
-8.47,-0.09,352.95,588.700012207,-35.3632613,149.1652248
-8.58,-0.09,352.95,588.7399902340001,-35.3632614,149.1652238
-8.69,-0.1,352.95,588.770019531,-35.3632615,149.1652226
-8.83,-0.11,352.95,588.799987793,-35.3632616,149.1652215
-9.01,-0.05,352.92,588.83001709,-35.3632616,149.1652202
-9.27,0.25,352.55,588.859985352,-35.3632617,149.16521880000002
-9.64,0.72,351.17,588.890014648,-35.363262,149.16521740000002
-10.1,0.96,348.23,588.91998291,-35.36326210000001,149.1652159
-10.55,0.61,343.7,588.950012207,-35.3632622,149.1652143
-10.87,-0.43,337.79,588.979980469,-35.3632626,149.1652126
-10.92,-2.13,330.8,589.0100097659999,-35.363262799999994,149.1652107
-10.55,-4.28,322.99,589.039978027,-35.363263200000006,149.16520880000002
-9.71,-6.63,314.62,589.08001709,-35.363263399999994,149.16520680000002
-8.43,-8.9,305.91,589.1199951169999,-35.3632639,149.16520480000003
-6.78,-10.87,297.12,589.159973145,-35.3632641,149.1652025
-4.87,-12.39,288.54,589.200012207,-35.3632646,149.1652004
-2.88,-13.39,280.43,589.2399902340001,-35.3632649,149.165198
-0.99,-13.93,272.97,589.2800292969999,-35.3632653,149.16519530000002
0.71,-14.15,266.23,589.33001709,-35.3632656,149.1651928
2.49,-14.16,260.33,589.3800048830001,-35.3632659,149.1651901
4.2,-13.99,255.79,589.41998291,-35.363266100000004,149.1651872
5.54,-13.77,252.82,589.4699707030001,-35.3632664,149.16518430000002
6.26,-13.61,251.44,589.5300292969999,-35.363266499999995,149.16518119999998
6.26,-13.59,251.46,589.58001709,-35.3632668,149.1651781
5.53,-13.75,252.6,589.6300048830001,-35.3632669,149.16517480000002
4.25,-14.07,254.56,589.6900024409999,-35.363267,149.16517140000002
2.63,-14.5,257.02,589.75,-35.3632671,149.1651681
0.94,-14.92,259.68,589.799987793,-35.3632671,149.1651646
-0.59,-15.24,262.24,589.859985352,-35.3632672,149.1651611
-1.81,-15.42,264.4,589.91998291,-35.3632674,149.1651575
-2.61,-15.49,265.98,589.979980469,-35.3632676,149.1651537
-2.99,-15.47,266.9,590.039978027,-35.363267799999996,149.1651501
-2.96,-15.44,267.15,590.099975586,-35.3632682,149.16514630000003
-2.62,-15.42,266.83,590.159973145,-35.3632684,149.1651423
-2.04,-15.46,266.07,590.2199707030001,-35.3632689,149.16513840000002
-1.34,-15.55,265.04,590.2800292969999,-35.3632693,149.1651345
-0.6,-15.66,263.89,590.340026855,-35.3632696,149.1651305
0.05,-15.77,262.78,590.400024414,-35.3632701,149.1651264
0.58,-15.85,261.83,590.460021973,-35.3632705,149.16512240000003
0.93,-15.9,261.1,590.520019531,-35.363270799999995,149.16511819999997
1.11,-15.93,260.65,590.58001709,-35.3632713,149.165114
1.13,-15.95,260.48,590.640014648,-35.3632718,149.1651096
1.0,-15.99,260.55,590.700012207,-35.363272200000004,149.1651054
0.77,-16.04,260.81,590.7600097659999,-35.3632726,149.165101
0.5,-16.09,261.2,590.820007324,-35.363273,149.1650967
0.23,-16.13,261.65,590.8800048830001,-35.3632734,149.16509240000002
0.0,-16.17,262.09,590.9400024409999,-35.363273799999995,149.165088
-0.2,-16.19,262.49,591.0,-35.36327429999999,149.16508340000001
-0.35,-16.19,262.79,591.0599975590001,-35.3632748,149.165079
-0.44,-16.2,262.99,591.1199951169999,-35.363275099999996,149.1650745
-0.47,-16.22,263.09,591.1900024409999,-35.3632756,149.1650699
-0.43,-16.23,263.08,591.25,-35.3632762,149.1650654
-0.36,-16.25,263.0,591.3099975590001,-35.3632766,149.1650608
-0.26,-16.29,262.87,591.3699951169999,-35.3632771,149.165056
-0.15,-16.34,262.71,591.429992676,-35.3632775,149.16505149999998
-0.03,-16.39,262.54,591.4899902340001,-35.363278,149.1650468
0.09,-16.43,262.39,591.5599975590001,-35.3632786,149.1650421
0.19,-16.46,262.28,591.6199951169999,-35.3632791,149.16503740000002
0.23,-16.48,262.21,591.679992676,-35.363279600000006,149.1650326
0.21,-16.49,262.19,591.7399902340001,-35.363280100000004,149.16502780000002
0.16,-16.5,262.2,591.799987793,-35.363280700000004,149.165023
0.11,-16.52,262.25,591.8699951169999,-35.3632811,149.1650182
0.07,-16.57,262.32,591.929992676,-35.3632817,149.16501340000002
0.02,-16.64,262.41,591.9899902340001,-35.36328220000001,149.1650086
-0.02,-16.68,262.5,592.049987793,-35.363282700000006,149.16500380000002
-0.06,-16.68,262.58,592.109985352,-35.363283200000005,149.164999
-0.08,-16.68,262.65,592.16998291,-35.3632836,149.1649941
-0.08,-16.67,262.7,592.2399902340001,-35.3632841,149.16498909999999
-0.08,-16.65,262.74,592.299987793,-35.3632847,149.1649842
-0.07,-16.64,262.76,592.359985352,-35.363285299999994,149.1649794
-0.05,-16.67,262.77,592.41998291,-35.36328579999999,149.1649745
-0.04,-16.71,262.76,592.479980469,-35.3632863,149.16496940000002
