Roll,Pitch,Yaw,Alt,Lat,Lng
0.0,0.0,353.0,584.090026855,-35.363261,149.1652299
0.0,0.0,353.0,584.090026855,-35.363261,149.1652299
0.0,0.0,353.0,584.090026855,-35.363261,149.1652299
0.0,0.0,353.0,584.090026855,-35.363261,149.1652299
0.0,0.0,353.0,584.090026855,-35.363261,149.1652299
0.0,0.0,353.0,584.090026855,-35.363261,149.1652299
0.0,0.0,353.0,584.090026855,-35.363261,149.1652299
0.0,0.0,353.0,584.090026855,-35.363261,149.1652299
0.0,0.0,353.0,584.090026855,-35.363261,149.1652299
0.0,0.0,353.0,584.090026855,-35.363261,149.1652299
0.0,0.0,353.0,584.090026855,-35.363261,149.1652299
0.0,0.0,353.0,584.090026855,-35.363261,149.1652299
0.0,0.0,353.0,584.090026855,-35.363261,149.1652299
0.0,0.0,353.0,584.090026855,-35.363261,149.1652299
0.0,0.0,353.0,584.090026855,-35.363261,149.1652299
0.0,0.0,353.0,584.090026855,-35.363261,149.1652299
0.0,0.0,353.0,584.090026855,-35.363261,149.1652299
0.0,0.0,353.0,584.090026855,-35.363261,149.1652299
0.0,0.0,353.0,584.090026855,-35.363261,149.1652299
0.0,0.0,353.0,584.090026855,-35.363261,149.1652299
0.0,0.0,353.0,584.090026855,-35.363261,149.1652299
0.0,0.0,353.0,584.090026855,-35.363261,149.1652299
0.0,0.0,353.0,584.090026855,-35.363261,149.1652299
0.0,0.0,353.0,584.090026855,-35.363261,149.1652299
0.0,0.0,353.0,584.090026855,-35.363261,149.1652299
0.0,0.0,353.0,584.090026855,-35.363261,149.1652299
0.0,0.0,353.0,584.090026855,-35.363261,149.1652299
0.0,0.0,353.0,584.090026855,-35.363261,149.1652299
0.0,0.0,353.0,584.090026855,-35.363261,149.1652299
0.0,0.0,353.0,584.090026855,-35.363261,149.1652299
0.0,0.0,353.0,584.090026855,-35.363261,149.1652299
0.0,0.0,353.0,584.090026855,-35.363261,149.1652299
0.0,0.0,353.0,584.090026855,-35.363261,149.1652299
0.0,0.0,353.0,584.090026855,-35.363261,149.1652299
0.0,0.0,353.0,584.090026855,-35.363261,149.1652299
0.0,0.0,353.0,584.090026855,-35.363261,149.1652299
0.0,0.0,353.0,584.090026855,-35.363261,149.1652299
0.0,0.0,353.0,584.090026855,-35.363261,149.1652299
0.0,0.0,353.0,584.090026855,-35.363261,149.1652299
0.0,0.0,353.0,584.090026855,-35.363261,149.1652299
0.0,0.0,353.0,584.090026855,-35.363261,149.1652299
0.0,0.0,353.0,584.099975586,-35.363261,149.1652299
0.0,0.0,353.0,584.099975586,-35.363261,149.1652299
0.0,0.0,353.0,584.109985352,-35.363261,149.1652299
0.0,0.0,353.0,584.1300048830001,-35.363261,149.1652299
0.0,0.0,353.0,584.159973145,-35.363261,149.1652299
0.0,0.0,353.0,584.200012207,-35.363261,149.1652299
0.0,0.0,352.99,584.2399902340001,-35.363261,149.1652299
0.0,0.0,352.99,584.33001709,-35.363261,149.1652299
0.01,-0.01,352.99,584.4699707030001,-35.363261,149.1652299
0.0,-0.03,352.99,584.6300048830001,-35.363261,149.1652299
0.0,-0.04,352.99,584.7800292969999,-35.363261,149.1652299
-0.01,-0.02,352.99,584.929992676,-35.363261,149.1652299
-0.02,-0.02,352.99,585.090026855,-35.363261,149.1652299
-0.01,-0.01,352.99,585.2399902340001,-35.363261,149.1652299
-0.02,-0.01,352.99,585.409973145,-35.363261,149.1652299
-0.02,0.0,352.99,585.58001709,-35.363261,149.1652299
-0.01,0.01,352.99,585.75,-35.363261,149.1652299
-0.02,0.0,352.98,585.929992676,-35.363261,149.1652299
-0.03,0.0,352.98,586.090026855,-35.363261,149.1652299
0.06,0.01,352.98,586.25,-35.363261,149.1652299
0.46,0.14,352.98,586.400024414,-35.363261,149.1652299
1.18,0.35,352.99,586.5300292969999,-35.363261,149.1652299
2.12,0.63,352.99,586.659973145,-35.363261,149.1652299
3.19,0.96,353.0,586.770019531,-35.363261,149.1652301
4.28,1.27,353.02,586.8699951169999,-35.363261,149.1652302
5.22,1.55,353.02,586.960021973,-35.363261,149.16523030000002
5.95,1.77,353.03,587.0300292969999,-35.363261,149.16523069999997
6.48,1.95,353.02,587.099975586,-35.363261,149.165231
6.89,2.09,353.01,587.159973145,-35.363261,149.1652315
7.26,2.23,353.0,587.210021973,-35.3632611,149.165232
7.59,2.33,352.98,587.2600097659999,-35.3632613,149.1652327
7.86,2.4,352.97,587.299987793,-35.3632614,149.1652334
8.04,2.45,352.96,587.340026855,-35.3632615,149.1652342
8.18,2.51,352.95,587.3699951169999,-35.3632616,149.1652351
8.3,2.55,352.94,587.400024414,-35.3632617,149.1652363
8.39,2.6,352.94,587.429992676,-35.3632619,149.1652374
8.46,2.79,353.04,587.460021973,-35.36326210000001,149.1652385
8.58,3.26,353.7,587.4899902340001,-35.3632622,149.1652399
8.82,3.8,355.63,587.520019531,-35.3632625,149.16524130000002
9.27,3.95,359.2,587.539978027,-35.36326270000001,149.1652427
9.88,3.47,4.31,587.570007324,-35.363262899999995,149.1652444
10.54,2.28,10.69,587.590026855,-35.3632633,149.165246
11.07,0.46,18.02,587.6199951169999,-35.363263700000005,149.16524760000001
11.28,-1.82,26.04,587.650024414,-35.363264,149.1652494
11.04,-4.33,34.49,587.679992676,-35.3632645,149.1652514
10.3,-6.79,43.17,587.710021973,-35.3632649,149.16525330000002
9.1,-8.98,51.82,587.75,-35.3632653,149.1652555
7.59,-10.79,60.19,587.7800292969999,-35.3632658,149.16525780000003
5.94,-12.17,68.06,587.820007324,-35.36326629999999,149.16526000000002
4.28,-13.16,75.35,587.849975586,-35.3632666,149.1652626
2.78,-13.8,81.9,587.890014648,-35.3632671,149.16526509999997
1.48,-14.19,87.81,587.929992676,-35.3632676,149.1652677
0.4,-14.39,93.19,587.9699707030001,-35.363268,149.16527050000002
-0.75,-14.5,98.13,588.020019531,-35.363268299999994,149.16527340000002
-2.19,-14.53,102.38,588.0599975590001,-35.363268700000006,149.16527649999998
-3.64,-14.49,105.57,588.099975586,-35.363269,149.1652795
-4.72,-14.42,107.48,588.150024414,-35.3632695,149.16528269999998
-5.18,-14.38,108.15,588.200012207,-35.3632698,149.16528590000001
-4.94,-14.44,107.74,588.2399902340001,-35.3632701,149.1652892
-4.13,-14.61,106.49,588.289978027,-35.3632704,149.1652926
-2.92,-14.86,104.68,588.340026855,-35.3632706,149.16529630000002
-1.54,-15.15,102.58,588.3800048830001,-35.363270799999995,149.1652997
-0.18,-15.4,100.48,588.429992676,-35.36327120000001,149.1653035
0.97,-15.57,98.63,588.479980469,-35.363271399999995,149.1653072
1.81,-15.66,97.19,588.5300292969999,-35.3632718,149.165311
2.28,-15.7,96.29,588.58001709,-35.363272200000004,149.1653148
2.38,-15.73,95.92,588.6300048830001,-35.3632726,149.1653187
2.18,-15.78,96.04,588.679992676,-35.3632731,149.1653226
1.77,-15.85,96.56,588.729980469,-35.3632735,149.1653265
1.23,-15.94,97.35,588.7800292969999,-35.363274100000005,149.16533069999997
0.63,-16.02,98.26,588.83001709,-35.3632745,149.1653347
0.09,-16.09,99.19,588.8800048830001,-35.363275,149.1653389
-0.34,-16.14,100.02,588.929992676,-35.3632756,149.16534309999997
-0.65,-16.17,100.68,588.979980469,-35.3632762,149.16534719999999
-0.85,-16.19,101.12,589.020019531,-35.3632768,149.16535149999999
-0.91,-16.21,101.34,589.070007324,-35.3632773,149.16535580000001
-0.85,-16.26,101.35,589.1199951169999,-35.3632779,149.16536010000002
-0.74,-16.31,101.2,589.16998291,-35.3632784,149.1653646
-0.56,-16.35,100.92,589.2199707030001,-35.363279,149.165369
-0.35,-16.38,100.58,589.270019531,-35.363279600000006,149.16537340000002
-0.14,-16.41,100.22,589.320007324,-35.363280100000004,149.16537780000002
0.06,-16.42,99.9,589.3699951169999,-35.363280700000004,149.1653825
0.23,-16.44,99.63,589.41998291,-35.3632813,149.1653869
0.34,-16.49,99.44,589.4699707030001,-35.363281799999996,149.1653916
0.38,-16.55,99.34,589.520019531,-35.363282399999996,149.16539619999998
0.34,-16.62,99.32,589.570007324,-35.363283,149.1654007
0.27,-16.68,99.37,589.6199951169999,-35.3632836,149.1654054
0.18,-16.72,99.47,589.66998291,-35.3632844,149.1654101
0.08,-16.73,99.6,589.7199707030001,-35.363285,149.16541469999999
-0.01,-16.75,99.74,589.770019531,-35.363285600000005,149.16541940000002
-0.1,-16.77,99.87,589.820007324,-35.3632863,149.1654242
-0.17,-16.8,99.97,589.8699951169999,-35.3632869,149.16542900000002
-0.21,-16.84,100.04,589.91998291,-35.3632876,149.16543380000002
-0.21,-16.88,100.08,589.9699707030001,-35.3632883,149.1654385
-0.21,-16.9,100.08,590.020019531,-35.36328889999999,149.16544330000002
-0.2,-16.92,100.05,590.070007324,-35.3632896,149.1654481
-0.2,-16.94,100.0,590.1199951169999,-35.3632902,149.165453
-0.19,-16.95,99.94,590.16998291,-35.3632908,149.165458
-0.17,-16.96,99.86,590.2199707030001,-35.363291499999995,149.1654628
-0.14,-16.96,99.8,590.270019531,-35.3632921,149.1654677
-0.12,-16.97,99.73,590.320007324,-35.3632929,149.16547260000002
-0.08,-16.99,99.68,590.3699951169999,-35.3632936,149.16547759999997
-0.05,-17.02,99.64,590.41998291,-35.363294200000006,149.1654825
-0.04,-17.04,99.62,590.4699707030001,-35.3632949,149.16548740000002
-0.04,-17.04,99.61,590.520019531,-35.3632956,149.1654925
-0.06,-17.07,99.6,590.570007324,-35.3632963,149.16549740000002
-0.06,-17.11,99.61,590.6199951169999,-35.3632969,149.1655025
-0.08,-17.15,99.62,590.66998291,-35.363297499999994,149.1655075
-0.11,-17.18,99.63,590.7199707030001,-35.3632982,149.1655125
-0.12,-17.21,99.64,590.770019531,-35.363299,149.1655175
-0.12,-17.24,99.64,590.820007324,-35.363299700000006,149.1655226
